,time,price
107,2024-04-26 02:17:23.488582+00:00,12.54
108,2024-04-27 02:16:39.439963+00:00,12.54
109,2024-04-28 02:21:37.486766+00:00,12.54
110,2024-04-29 02:18:35.759988+00:00,12.54
111,2024-04-30 02:17:00.969735+00:00,12.54
112,2024-05-01 02:22:09.207489+00:00,9.39
113,2024-05-02 02:17:40.204425+00:00,9.39
114,2024-05-03 02:20:00.537146+00:00,9.39
115,2024-05-04 02:15:33.884987+00:00,9.39
116,2024-05-05 02:20:22.611668+00:00,9.39
117,2024-05-06 02:21:30.752577+00:00,9.39
118,2024-05-07 02:24:36.745158+00:00,9.39
119,2024-05-09 02:21:57.118609+00:00,9.39
120,2024-05-10 02:24:04.260840+00:00,9.39
121,2024-05-11 02:17:16.067786+00:00,9.39
122,2024-05-12 02:22:10.511292+00:00,9.39
123,2024-05-13 02:22:50.970923+00:00,9.39
124,2024-05-14 02:19:47.461844+00:00,9.39
125,2024-05-15 02:24:06.775986+00:00,9.39
126,2024-05-16 02:20:36.923953+00:00,9.39
127,2024-05-17 02:20:27.471449+00:00,9.39
128,2024-05-18 02:20:23.102011+00:00,9.39
129,2024-05-19 02:22:57.591070+00:00,9.39
130,2024-05-20 02:23:16.453623+00:00,9.39
131,2024-05-21 02:20:43.122318+00:00,9.39
132,2024-05-22 02:21:37.058746+00:00,9.39
133,2024-05-23 02:21:21.293979+00:00,9.39
134,2024-05-24 02:21:46.998340+00:00,9.39
135,2024-05-25 02:19:45.314430+00:00,9.39
136,2024-05-26 02:24:16.629982+00:00,9.39
137,2024-05-27 02:23:09.165295+00:00,9.39
138,2024-05-28 02:23:13.182065+00:00,13.14
139,2024-05-29 02:24:45.612349+00:00,9.85
140,2024-05-30 02:26:53.613629+00:00,9.85
141,2024-05-31 02:23:27.172130+00:00,9.85
142,2024-06-01 02:26:30.225395+00:00,9.85
143,2024-06-02 02:26:18.473110+00:00,9.85
144,2024-06-03 02:24:37.047231+00:00,9.85
145,2024-06-04 02:24:00.660760+00:00,6.59
146,2024-06-05 02:23:56.619681+00:00,6.59
147,2024-06-06 02:23:53.810416+00:00,6.59
148,2024-06-07 02:25:37.311838+00:00,6.59
149,2024-06-08 02:23:29.677700+00:00,6.59
150,2024-06-09 02:28:30.552734+00:00,6.59
151,2024-06-10 02:27:29.083548+00:00,6.59
152,2024-06-11 02:25:26.282549+00:00,6.59
153,2024-06-12 02:25:46.043525+00:00,6.59
154,2024-06-13 02:24:58.757614+00:00,6.59
155,2024-06-14 02:25:29.804755+00:00,6.59
156,2024-06-15 02:23:57.938011+00:00,13.14
157,2024-06-16 02:28:59.819492+00:00,13.14
158,2024-06-17 02:28:37.934099+00:00,13.14
159,2024-06-18 02:25:30.403282+00:00,13.14
160,2024-06-19 02:26:21.428732+00:00,13.14
161,2024-06-20 02:24:00.485674+00:00,13.14
162,2024-06-21 02:24:15.128491+00:00,13.14
163,2024-06-22 02:22:24.931709+00:00,13.14
164,2024-06-23 02:27:07.758115+00:00,13.14
165,2024-06-24 02:26:42.893975+00:00,13.14
166,2024-06-25 02:25:32.491985+00:00,13.14
167,2024-06-26 02:24:54.782565+00:00,13.14
168,2024-06-27 02:24:59.682580+00:00,13.14
169,2024-06-28 02:26:38.256687+00:00,13.14
170,2024-06-30 02:29:58.665972+00:00,13.14
171,2024-06-30 19:28:58.679936+00:00,13.14
172,2024-06-30 19:33:05.176144+00:00,13.14
173,2024-06-30 19:40:47.280358+00:00,13.14
174,2024-06-30 19:43:29.276237+00:00,13.14
175,2024-06-30 19:43:55.064990+00:00,13.14
176,2024-06-30 19:48:14.451202+00:00,13.14
177,2024-06-30 19:49:19.633718+00:00,13.14
